x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
2,2,0,1,1,2,0,0,3,2,0,3,70.5,116257
1,2,3,3,2,0,1,1,2,1,2,0,20.5,118779
2,2,3,3,2,0,1,0,2,1,2,0,50.0,121236
1,2,1,3,2,0,0,3,2,2,3,3,48.5,123959
1,2,3,3,0,2,3,1,2,1,3,0,138.5,126659
1,3,2,1,0,0,2,1,1,0,2,1,50.0,127456
2,2,3,2,1,2,1,3,2,1,3,0,48.5,128323
0,0,2,1,2,0,0,2,2,2,0,1,67.0,130294
1,2,3,3,2,2,3,1,2,0,3,3,48.5,132334
0,3,2,3,2,3,3,0,2,3,0,0,138.5,135096
1,2,3,3,2,1,2,1,2,1,0,0,20.5,137486
1,1,0,2,0,1,3,3,2,1,0,0,50.0,140081
3,0,3,1,1,1,1,1,2,0,0,0,50.0,142872
1,2,3,3,2,1,3,1,0,1,0,0,138.5,145936
1,2,2,3,0,1,0,2,2,1,1,0,111.5,148707
1,2,3,3,2,0,3,1,2,1,0,0,20.5,151506
1,2,2,2,3,0,3,1,1,1,0,0,50.0,154444
3,2,3,3,3,1,1,3,2,3,3,3,67.0,156064
1,2,0,3,3,1,1,2,3,0,1,0,138.5,158945
1,2,1,3,2,3,0,1,2,1,0,0,20.5,161161
1,2,3,3,2,1,0,1,1,1,0,2,50.0,164116
1,2,0,3,2,2,3,1,3,1,2,1,50.0,167437
1,2,2,3,2,1,3,1,2,2,0,0,50.0,170246
1,2,3,2,2,1,3,1,2,1,0,0,50.0,173136
1,2,3,3,2,2,0,1,2,1,0,0,20.5,175809
1,2,3,3,2,3,2,1,2,1,0,1,20.5,178706
0,2,3,3,1,3,1,1,2,1,0,0,48.5,181496
2,2,0,3,3,0,1,3,0,1,2,3,50.0,182846
1,1,3,3,2,2,3,1,2,1,0,0,29.5,185352
0,0,0,2,3,0,3,1,2,2,2,2,67.0,186600
0,0,3,3,1,2,2,2,0,2,3,3,67.0,187867
0,3,3,3,3,2,0,0,0,3,3,2,50.0,189197
1,2,0,3,2,0,0,3,2,0,0,0,70.5,191748
1,3,3,3,2,1,2,1,2,1,0,0,111.5,194701
1,2,3,3,2,3,2,2,2,1,0,0,111.5,197768
1,1,3,3,2,3,2,1,2,1,0,1,29.5,200164
1,2,2,3,2,2,2,1,2,1,0,0,20.5,202364
1,2,3,3,2,2,1,1,2,1,3,0,20.5,205222
1,2,3,3,2,0,1,1,2,1,1,0,20.5,207338
1,2,1,3,1,1,0,1,2,1,0,0,55.0,209696
1,2,3,3,2,1,2,1,3,1,1,0,50.0,212817
0,0,3,2,2,1,0,3,0,2,3,0,138.5,215499
1,2,1,3,2,1,0,1,2,1,1,0,20.5,218380
1,2,3,3,2,2,3,1,2,1,3,0,20.5,220920
0,3,2,1,0,3,1,3,2,3,0,3,111.5,223413
1,2,3,3,2,3,1,1,2,1,2,0,20.5,225604
1,2,1,3,2,3,1,1,2,2,3,0,50.0,227839
1,2,2,3,2,0,0,1,2,1,0,0,20.5,230422
0,3,2,1,0,2,0,0,2,3,0,3,50.0,233107
1,2,3,3,2,3,3,1,2,1,3,0,20.5,236024
